Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:52.176
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:52.883
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:53.589
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:54.296
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:55.003
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:55.709
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:56.416
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:57.122
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:57.829
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:58.536
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14:38:59.242
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:00.642
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:01.349
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:02.055
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:02.762
0.0,32.75,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:03.468
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:04.175
0.0,32.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:04.882
0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:05.589
0.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14:39:06.295
